client_public,role,time
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1764240
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778103
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1767700
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773048
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748252
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776398
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753383
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749301
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1764955
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1765920
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749230
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1755464
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776778
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776368
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776821
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1783269
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774360
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1788489
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1789728
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774843
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748650
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775670
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1752439
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751353
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753355
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1768168
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1770201
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749725
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1782708
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1780862
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1790232
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1771924
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1778593
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773042
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1792050
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776532
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748284
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1782702
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748671
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749537
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749213
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1750422
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1765720
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1762698
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1772907
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1773479
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1771668
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1787070
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1761131
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1779008
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776527
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1775658
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1784826
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1777081
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1756415
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1748199
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749214
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753186
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1751919
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1747438
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1749490
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1774409
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1769668
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1781873
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1753266
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1776395
14beec340aa8941a0e12ccad62f7011a2c019d02a0e72637bb755a58cedbfa2d,server,1784407
